dimension,run,c,h,a,theta_h,theta_a,average edge weight,number of communites,modularity,range of avg comm. states,std. of avg comm.states
2,2,0.03,0.01,0.1,0.01,0.01,4.313601603667796,3,0.011484845773624394,1.1205618460603495,0.4897477985646743
2,3,0.01,0.03,0.01,0.01,0.01,1.877724746495839e-09,99,0.0,18.19983084181399,3.455988801109513
2,2,0.01,0.03,0.1,0.01,0.01,2.218338891627222,3,0.11411183914500223,3.2506726686114065,1.3814184294394094
2,3,0.01,0.1,0.1,0.01,0.01,8.2992406222217e-06,89,0.09183407332371384,15.54490770231368,3.5196941864153826
2,2,0.03,0.01,0.01,0.01,0.01,0.0026570170473276165,10,0.6019462489471655,3.9575824447118815,1.1444762357982539
2,2,0.01,0.01,0.1,0.01,0.01,6.528360055683586,3,0.019766036464717973,3.163401777672094,1.3260825949025488
2,2,0.01,0.01,0.01,0.01,0.01,0.0012351529968593381,13,0.7137638922363037,10.063924426126352,2.5745135855083605
2,4,0.01,0.1,0.01,0.01,0.01,0.0,100,1,14.921408155372173,3.203292368196145
2,0,0.01,0.3,0.01,0.01,0.03,0.0,100,1,16.575586789160567,3.414992954885759
2,0,0.01,0.3,0.1,0.01,0.03,0.0,100,1,15.200039277092527,3.110595783990557
2,4,0.01,0.03,0.01,0.01,0.01,0.0,100,1,17.702260664829986,3.511532454324716
2,4,0.01,0.1,0.1,0.01,0.01,7.760077071555987e-06,88,0.12368106212735003,15.627881383596293,3.068856453747986
2,3,0.03,0.01,0.1,0.01,0.01,4.117416728974712,3,0.015250308877331753,0.8011443660673037,0.33977419757904914
2,3,0.01,0.03,0.1,0.01,0.01,1.8951112299802833,3,0.1140558319909546,3.218582476176764,1.3701439790984071
2,0,0.01,0.1,0.01,0.01,0.03,0.0,100,1,17.228462116667533,3.1622037787628345
2,1,0.01,0.3,0.01,0.01,0.03,0.0,100,1,14.99410553026593,3.0158442421368052
2,1,0.01,0.3,0.1,0.01,0.03,0.0,100,1,15.61435741722012,3.1985388732254876
2,3,0.01,0.01,0.1,0.01,0.01,5.774137105385725,3,0.022052853293707222,2.7925510598725394,1.1851839565929185
2,3,0.03,0.01,0.01,0.01,0.01,0.0031619828441627005,9,0.6135691767844911,5.062384615859161,1.5001238968957367
2,3,0.01,0.01,0.01,0.01,0.01,0.0012705186305919554,10,0.6897540619498924,7.840403437344104,2.2293575099662237
2,0,0.01,0.03,0.01,0.01,0.03,0.0,100,1,18.444352133675483,3.5274879816783353
2,0,0.01,0.1,0.1,0.01,0.03,2.168153862181822e-06,98,1.1102230246251565e-16,16.496691447123354,3.473743346749549
2,2,0.01,0.3,0.01,0.01,0.03,0.0,100,1,16.649872014292093,3.3645432731138536
