run,c,h,a,theta_h,theta_a,average edge weight,number of communites,modularity,range of avg comm. states,std. of avg comm.states
0,0.01,0.3,0.01,0.01,0.01,0.0,100,1,14.555284808091837,3.449028721937709
0,0.01,0.3,0.1,0.01,0.01,0.0,100,1,17.515125019736452,3.1757737956403043
0,0.01,0.1,0.01,0.01,0.01,0.0,100,1,15.725096309663968,3.356388545382104
0,0.01,0.03,0.01,0.01,0.01,0.0,100,1,15.420156286350815,2.9813982265728667
0,0.01,0.1,0.1,0.01,0.01,3.5744350266631656e-06,92,0.29604795550146984,18.402339435391927,3.5382030952373054
0,0.01,0.03,0.1,0.01,0.01,1.730329629537123,3,0.13303179878671278,4.11449402211848,1.6955760368870876
0,0.01,0.01,0.1,0.01,0.01,6.3496669429764765,3,0.02175192876569826,2.821115693361915,1.2291991137033094
0,0.01,0.01,0.01,0.01,0.01,0.0013947476334959766,11,0.7381735463561543,8.812522220171925,2.328975442466996
0,0.03,0.01,0.1,0.01,0.01,4.260691637550743,3,0.012530456360443379,1.1032214430079004,0.45455721359879053
0,0.03,0.01,0.01,0.01,0.01,0.003208266056661291,9,0.5759026943034182,4.035476432498214,1.379095800369261
1,0.01,0.3,0.1,0.01,0.01,0.0,100,1,17.12488341885598,3.47375618039921
1,0.01,0.3,0.01,0.01,0.01,0.0,100,1,16.02381163680436,3.4993607131018063
1,0.01,0.1,0.01,0.01,0.01,0.0,100,1,15.105288890313275,3.016685183691499
1,0.01,0.1,0.1,0.01,0.01,0.0,100,1,17.668081015162095,3.3483587063023754
1,0.01,0.03,0.01,0.01,0.01,0.0,100,1,15.437224613625718,2.9696022770383337
2,0.01,0.3,0.1,0.01,0.01,0.0,100,1,14.303582408000302,3.218229246609574
2,0.01,0.3,0.01,0.01,0.01,0.0,100,1,13.954019602358148,3.1444548835997637
2,0.01,0.1,0.01,0.01,0.01,0.0,100,1,15.654008736177946,3.170163942577304
1,0.01,0.03,0.1,0.01,0.01,1.8516247774450658,3,0.09673636316358573,2.8971209536515246,1.2292124018606718
1,0.01,0.01,0.1,0.01,0.01,5.82430876704692,2,0.020135094583363794,1.8679387386444033,0.9339693693222016
1,0.01,0.01,0.01,0.01,0.01,0.0015752612327247651,9,0.6786359906577739,6.882332409591596,2.223649147882905
2,0.01,0.1,0.1,0.01,0.01,1.785296956013592e-05,75,0.23038977373767605,16.001895197509224,3.560627583915065
1,0.03,0.01,0.1,0.01,0.01,4.553897625260641,3,0.010922715999082094,0.8914601983492724,0.3645808212817229
2,0.01,0.03,0.01,0.01,0.01,0.0,100,1,18.40506588994211,3.4731861923097744
1,0.03,0.01,0.01,0.01,0.01,0.0038854484232301845,9,0.5657399567686247,4.999091814385338,1.5060388715465813
3,0.01,0.3,0.1,0.01,0.01,0.0,100,1,17.16746137482944,3.4138514812478773
3,0.01,0.3,0.01,0.01,0.01,0.0,100,1,18.249681383091048,3.243745039969796
3,0.01,0.1,0.01,0.01,0.01,0.0,100,1,16.23060147764927,3.000587594698179
3,0.01,0.1,0.1,0.01,0.01,1.9627018598451098e-05,70,0.5384529690817743,17.13944092111299,3.312802775805489
3,0.01,0.03,0.01,0.01,0.01,0.0,100,1,14.830051803482071,2.9463320535143724
4,0.01,0.3,0.1,0.01,0.01,0.0,100,1,17.13146675437979,3.252940342034723
2,0.01,0.03,0.1,0.01,0.01,1.9309037149234871,3,0.10798656633822509,3.3027010918448823,1.3713576142794526
4,0.01,0.3,0.01,0.01,0.01,7.442790882064455e-09,99,1.1102230246251565e-16,17.87875390891675,3.42487886978658
2,0.01,0.01,0.01,0.01,0.01,0.001350534488650244,13,0.6748757974868084,8.803004804730236,2.834780048312206
2,0.01,0.01,0.1,0.01,0.01,5.418871984054547,2,0.029175484845304078,2.0980288945954624,1.0490144472977312
4,0.01,0.1,0.01,0.01,0.01,0.0,100,1,17.010788168852223,3.0618138876470735
2,0.03,0.01,0.1,0.01,0.01,4.3534520366783145,3,0.014274773729581483,1.3656380733806985,0.5947313714108274
2,0.03,0.01,0.01,0.01,0.01,0.0033631197078408215,7,0.6171645980826543,4.119363145356504,1.296625556223972
4,0.01,0.1,0.1,0.01,0.01,5.9792988014964476e-06,92,3.3306690738754696e-16,17.111973490025193,3.3492895399988902
0,0.01,0.3,0.1,0.01,0.03,0.0,100,1,17.362232533984354,3.4721206636467565
4,0.01,0.03,0.01,0.01,0.01,0.0,100,1,14.578313792650967,2.9926528933280525
0,0.01,0.3,0.01,0.01,0.03,0.0,100,1,16.750450280298466,3.3531686425319265
0,0.01,0.1,0.01,0.01,0.03,0.0,100,1,15.072171652280705,3.2293775246869605
3,0.01,0.03,0.1,0.01,0.01,1.7310796492895832,3,0.10599681159573081,2.7174426964671037,1.159340966344241
1,0.01,0.3,0.1,0.01,0.03,0.0,100,1,18.851509856054964,3.3329011151937245
0,0.01,0.1,0.1,0.01,0.03,1.9488635486380888e-05,82,0.20427045911840114,16.523750917259427,3.2763254393529238
1,0.01,0.3,0.01,0.01,0.03,0.0,100,1,16.267126932537757,3.314370377552171
3,0.01,0.01,0.01,0.01,0.01,0.0012442960558635072,14,0.7612779889310942,11.89398739225243,2.764078359802919
3,0.01,0.01,0.1,0.01,0.01,6.200194241978114,3,0.015514147700244355,2.1967679150544215,0.8982572205057233
0,0.01,0.03,0.01,0.01,0.03,0.0,100,1,14.922554889873755,3.1201306147459187
3,0.03,0.01,0.1,0.01,0.01,4.027591228586485,3,0.011295679543733367,0.9871445646366224,0.4249356582781142
3,0.03,0.01,0.01,0.01,0.01,0.0025627084530491138,11,0.6163462880141097,5.204198921046846,1.5196620949933948
1,0.01,0.1,0.01,0.01,0.03,0.0,100,1,16.640722640262386,3.129227767399076
2,0.01,0.3,0.1,0.01,0.03,0.0,100,1,15.383002065959776,3.134212046119006
2,0.01,0.3,0.01,0.01,0.03,0.0,100,1,18.018919093126033,3.286892948272678
1,0.01,0.1,0.1,0.01,0.03,4.873279426948314e-09,99,0.0,17.986468169400897,3.4332224900529873
4,0.01,0.03,0.1,0.01,0.01,1.7040091113886273,3,0.11530477553429287,3.6565205447066615,1.5260504156145918
1,0.01,0.03,0.01,0.01,0.03,0.0,100,1,15.822459046215926,3.2268572780635756
2,0.01,0.1,0.01,0.01,0.03,0.0,100,1,19.75303017423395,3.513785970989497
4,0.01,0.01,0.01,0.01,0.01,0.00200662221370282,11,0.6650930822882821,7.67429009026532,2.099567991404659
