run,c,h,a,theta_h,theta_a,average edge weight,number of communites,modularity,range of avg comm. states,std. of avg comm.states
3,0.03,0.01,0.01,0.01,0.01,0.25912428060265064,3,0.16167456592283402,1.9679304217406766,0.8757450502657486
3,0.01,0.01,0.1,0.01,0.01,12.47590823153823,2,0.007506890461671467,1.9711049638446765,0.9855524819223382
3,0.01,0.03,0.01,0.01,0.01,6.275983073548295e-07,63,0.8196434471256852,13.149396763676396,3.3368132414121505
3,0.01,0.03,0.1,0.01,0.01,10.215437992607333,2,0.0404630480772237,3.1177470931142635,1.5588735465571317
0,0.1,0.3,0.01,0.01,0.01,3.1953227011297607e-07,85,0.8374315470580921,18.689342335118653,3.3963767685754824
4,0.03,0.3,0.1,0.01,0.01,4.504168875668317e-06,62,0.8355741810114772,16.624909454750302,3.738593614511572
0,0.1,0.3,0.1,0.01,0.01,4.03151773261365e-06,66,0.6751263934362501,15.070560950911723,3.1073245577578974
4,0.01,0.1,0.01,0.01,0.01,1.608261436737869e-07,82,0.8950774430268849,16.92829491710262,3.5442510184579983
4,0.01,0.3,0.1,0.01,0.01,1.9332826623435394e-06,73,0.8536201321527426,18.04367018769369,3.6787287903418227
3,0.01,0.1,0.1,0.01,0.01,0.21805780505403577,3,0.2150949354582552,4.975139435198655,2.032659883479532
3,0.01,0.01,0.01,0.01,0.01,0.2750618389094989,2,0.21044085004396415,3.552082162333284,1.776041081166642
0,0.3,0.01,0.1,0.01,0.01,3.258443933094215,1,5.551115123125783e-16,0.0,0.0
0,0.3,0.01,0.01,0.01,0.01,0.37379757965450033,5,0.038937842894037566,0.3664295267090085,0.12301762890921265
0,0.1,0.1,0.01,0.01,0.01,2.3101387469278626e-07,71,0.8992426667255057,15.90718215529817,3.478722604538865
0,0.3,0.03,0.01,0.01,0.01,0.0028394864078108055,12,0.5112601010601029,2.8854988110062014,0.8843385463590611
3,0.03,0.03,0.01,0.01,0.01,6.510205016992114e-07,55,0.8550396591071503,14.132717790711698,3.1728677366596916
0,0.1,0.03,0.1,0.01,0.01,3.714192908059185,3,0.011955574799631094,0.6593464106620937,0.2759478897626992
0,0.1,0.03,0.01,0.01,0.01,9.683113091648594e-05,34,0.16806819330836792,10.868816653373937,2.773351637478148
0,0.1,0.01,0.1,0.01,0.01,5.185514017875082,1,4.440892098500626e-16,0.0,0.0
3,0.03,0.03,0.1,0.01,0.01,6.295476743903851,2,0.034215424307160125,1.4763639401220416,0.7381819700610208
0,0.1,0.1,0.1,0.01,0.01,0.18342573802386483,2,0.20151509519404473,3.118292530337472,1.559146265168736
3,0.03,0.01,0.1,0.01,0.01,8.768639483548471,2,0.004983901792363049,0.9357814692984123,0.46789073464920616
0,0.03,0.3,0.01,0.01,0.03,5.092308784369271e-07,79,0.8021244003381444,15.403099187351362,3.523278955074287
0,0.01,0.3,0.01,0.01,0.03,2.1880889167740725e-07,86,0.8790792685794351,13.381142902184013,3.2375770912262736
4,0.1,0.01,0.01,0.01,0.01,0.3036860420405072,3,0.07363932206250828,0.6301179430121618,0.2890410353948214
4,0.03,0.1,0.01,0.01,0.01,8.591612799392892e-08,84,0.8082701652667331,17.842257648376616,3.601802012855413
1,0.1,0.3,0.01,0.01,0.01,5.589209291009191e-07,73,0.8476574508804161,14.251932842395973,3.4012611886282813
1,0.1,0.3,0.1,0.01,0.01,3.597507942894662e-06,65,0.8088627515580556,13.674966615024786,3.607512373420667
4,0.03,0.1,0.1,0.01,0.01,0.20500262269852199,3,0.2581376180220138,4.834598484904648,1.9988996757495479
