run,c,h,a,theta_h,theta_a,avg_edw,num_com,mod,avg_com,sd_com
0,0.01,0.3,0.01,0.01,0.01,2.691987378299369e-07,85,0.869740947116433,15.01939893619392,95.48364141712891
0,0.01,0.3,0.1,0.01,0.01,2.760815845064701e-06,72,0.674766079993994,17.346504835022515,124.9896546777054
0,0.1,0.3,0.01,0.01,0.01,1.3294077410507446e-07,88,0.8794839558474336,16.825434823709458,103.5101128904459
0,0.3,0.3,0.01,0.01,0.01,3.266762724193592e-07,84,0.8402410642351543,15.286577284964814,99.61493691322816
0,0.03,0.3,0.01,0.01,0.01,3.3288250633264846e-07,81,0.9121335580684279,18.358139701591696,112.7951991115333
0,0.1,0.1,0.01,0.01,0.01,1.768343271127945e-07,81,0.8903049766779216,14.608582965319773,104.06147348830946
0,0.01,0.1,0.01,0.01,0.01,1.0754007267663115e-07,85,0.7182859667403301,15.021611410596943,106.54072973260283
0,0.1,0.3,0.1,0.01,0.01,2.3817084342288695e-06,70,0.8120046878450425,19.24880177914383,130.7333348625097
0,0.03,0.1,0.01,0.01,0.01,2.203622773577592e-07,79,0.6655103869108965,13.621196347418742,99.71852675940029
0,0.3,0.1,0.01,0.01,0.01,2.1217008485358344e-07,79,0.905953551163327,13.297469657111005,63.13557250861586
0,0.3,0.3,0.1,0.01,0.01,2.1213981721151464e-06,67,0.7224439171531661,19.931967209724995,128.37017376037556
0,0.03,0.01,0.01,0.01,0.01,0.2617464558644412,2,0.16370095302161825,2.1200127823639856,1.5890295203522338
0,0.01,0.1,0.1,0.01,0.01,0.22887583240297013,3,0.21611648672502687,4.788145949934344,7.0505657964309325
0,0.03,0.1,0.1,0.01,0.01,0.22251451358245233,2,0.24992228597021762,4.703714151719645,7.822342894223602
0,0.03,0.3,0.1,0.01,0.01,3.1890629599409012e-06,70,0.8491857421589963,17.35423297830262,121.3912574896104
0,0.3,0.01,0.1,0.01,0.01,3.2643758070205,1,2.220446049250313e-15,0.0,0.0
0,0.1,0.03,0.1,0.01,0.01,3.777011663475429,2,0.011574709601642558,0.7067906627437964,0.17661867140615917
0,0.3,0.01,0.01,0.01,0.01,0.3783584021922127,5,0.033209236736419595,0.17102334949294767,0.009846237958894421
0,0.01,0.03,0.01,0.01,0.01,8.767338041609918e-07,61,0.6227292982077764,16.363881060470934,112.00504481740076
0,0.3,0.03,0.1,0.01,0.01,2.408605600242697,3,0.004615136708567794,0.11484347165275685,0.004595366348760156
0,0.1,0.1,0.1,0.01,0.01,0.21136513531232545,3,0.21714549259944055,3.8422400521534144,4.325525106550366
0,0.01,0.03,0.1,0.01,0.01,9.105010088873689,3,0.039365927232435205,3.5824613608388667,3.7192168409336905
0,0.1,0.03,0.01,0.01,0.01,6.191667882991097e-05,38,0.6169719443382601,11.092958629070747,51.152912339778794
0,0.3,0.03,0.01,0.01,0.01,0.002900195532188755,10,0.45846974868215074,3.593086350574498,2.6456583603644623
0,0.03,0.03,0.01,0.01,0.01,4.49730155083865e-07,65,0.9000096568683771,12.326030413974868,76.52961484159832
0,0.03,0.03,0.1,0.01,0.01,6.350481287696101,2,0.03189014468607515,1.1894987390278096,0.5002452556650955
0,0.3,0.1,0.1,0.01,0.01,0.05505949127419846,3,0.19340532751795203,0.9441743895048731,0.2716357407058277
0,0.01,0.01,0.1,0.01,0.01,12.161294856923721,2,0.00854203399583911,2.25137656514183,1.7920548115676358
0,0.01,0.01,0.01,0.01,0.01,0.2683017731895574,2,0.16577948716780153,3.768341443064206,5.020598588973545
0,0.1,0.01,0.1,0.01,0.01,5.265437845172193,2,3.073669736117224e-05,0.10646796801628522,0.004007679078715496
0,0.03,0.01,0.1,0.01,0.01,9.238371363721683,2,0.006426736380588716,1.2132289144960455,0.520403861952546
0,0.1,0.01,0.01,0.01,0.01,0.3038294296387187,3,0.08175016393798583,0.3405527458281984,0.03380921250513063
1,0.01,0.3,0.01,0.01,0.01,4.245005023385849e-07,75,0.912204381130623,17.161697379493575,83.29883900208922
1,0.1,0.3,0.01,0.01,0.01,3.104015839085694e-07,84,0.8968567834033845,17.40447358946286,108.93225636402977
1,0.3,0.3,0.01,0.01,0.01,6.214270897931448e-07,75,0.8761040743085088,13.506993219525455,87.19527960882623
1,0.01,0.3,0.1,0.01,0.01,3.0753813952766166e-06,71,0.849560001281919,17.346998910119254,108.49655893168763
1,0.03,0.3,0.01,0.01,0.01,3.433809527004707e-07,81,0.8463203895442175,17.683609552301654,116.04578000499967
1,0.1,0.1,0.01,0.01,0.01,1.9220959571685715e-07,83,0.6994667612020599,15.511759835962685,104.89073790779668
1,0.3,0.1,0.01,0.01,0.01,1.955740446385596e-07,84,0.818282350046986,13.620906175468079,85.61883614192735
1,0.1,0.3,0.1,0.01,0.01,3.778929251006476e-06,63,0.8815956055662804,17.012816696831532,92.54543698708822
1,0.03,0.1,0.01,0.01,0.01,3.04273592852639e-07,83,0.8501811472505624,15.661105147336604,99.36626007682821
1,0.01,0.1,0.01,0.01,0.01,1.6158273743218858e-07,80,0.8698537402500132,17.900246679479075,129.54074934651902
1,0.3,0.3,0.1,0.01,0.01,2.2395205701184374e-06,70,0.7864344752587615,13.492334062330734,92.2577599368726
1,0.03,0.3,0.1,0.01,0.01,3.744326085206187e-06,61,0.8063123173910968,15.435193043156193,99.3939075781642
1,0.01,0.1,0.1,0.01,0.01,0.23660803895623927,3,0.21559421463282977,5.634146002508796,9.628206714515155
1,0.03,0.01,0.01,0.01,0.01,0.26742359027801677,2,0.16521556077774918,1.1609622960342847,0.47653108719714543
1,0.3,0.01,0.1,0.01,0.01,3.274077872300945,1,-4.3298697960381105e-15,0.0,0.0
1,0.01,0.03,0.01,0.01,0.01,3.160409954370503e-07,70,0.870897611802641,17.622541436569847,121.58660246328645
1,0.3,0.03,0.1,0.01,0.01,2.410672994449773,2,0.004137064174241811,0.13280456461278234,0.00623563966972398
1,0.03,0.1,0.1,0.01,0.01,0.2112217387039377,2,0.2096376825130745,4.4005823234087345,6.846605527033033
1,0.3,0.01,0.01,0.01,0.01,0.3755759531073997,5,0.03519350817480244,0.13530003887202385,0.005933212919332202
1,0.1,0.03,0.1,0.01,0.01,3.836523577965813,2,0.016474926122190037,0.15022232169645755,0.007978549540285226
1,0.1,0.1,0.1,0.01,0.01,0.14718011223131,3,0.2424790205084189,2.821284777885736,2.372013558812046
1,0.3,0.03,0.01,0.01,0.01,0.003192526380534952,9,0.47212737583628334,2.8586996629062496,1.6756805219011082
1,0.03,0.03,0.01,0.01,0.01,1.0306024908258078e-05,62,0.12784078806583174,15.247517816110985,87.89276556616497
1,0.1,0.03,0.01,0.01,0.01,1.2213678148192698e-05,40,0.5378151660916269,8.947390613224542,40.550402494617835
1,0.01,0.03,0.1,0.01,0.01,9.097922216928996,3,0.03690031396389096,3.3501349681395407,3.306966788957445
1,0.03,0.03,0.1,0.01,0.01,6.204652081254478,2,0.03105948615221485,0.9932851300316929,0.3488212020419693
1,0.3,0.1,0.1,0.01,0.01,0.052363928337211964,5,0.18444595051441193,1.1501415566724458,0.3730756465021771
1,0.01,0.01,0.1,0.01,0.01,12.347609693481077,2,0.007262479844722919,2.44147988800922,2.107469551328253
1,0.01,0.01,0.01,0.01,0.01,0.2772211162248212,3,0.195591414923491,4.126190480876743,4.919395875944938
1,0.1,0.01,0.1,0.01,0.01,5.377953659683088,2,8.223852857316971e-05,0.013023728314695851,5.996884195141888e-05
